model_id,family,role,priority,likelihood,primary_backend,primary_profile,implementation_kind,module,graph_id,runtime_tier,tasks,declared_backends
pp-zero-inflated-negative-binomial-count,count,research,p2,ZeroInflatedNegativeBinomial,pymc,pymc-advi-fullrank,native_pymc,models/pymc_native.py,zero_inflated_negative_binomial_count,bounded,window_count,pymc|numpyro|pyro
pp-beta-binomial-overdispersed,count,candidate,p1,BetaBinomial,pymc,pymc-nuts,native_pymc,models/pymc_native.py,beta_binomial_overdispersed,standard,select_candidate_inclusion,pymc|numpyro|stan
pp-multinomial-logistic-normal-count,count,candidate,p1,Multinomial,pymc,pymc-nuts,native_pymc,models/pymc_native.py,multinomial_logistic_normal_count,standard,window_count,pymc|numpyro|stan
pp-poisson-lognormal-count,count,research,p2,Poisson,pymc,pymc-advi-fullrank,native_pymc,models/pymc_native.py,poisson_lognormal_count,bounded,window_count,pymc|numpyro|stan|pyro
pp-hurdle-count,count,research,p2,HurdlePoisson/HurdleNB,pymc,pymc-advi-fullrank,native_pymc,models/pymc_native.py,hurdle_count,bounded,window_count,pymc|numpyro|pyro
pp-finite-mixture-categorical,mixture,research,p2,Categorical,pymc,pymc-smc,native_pymc,models/pymc_native.py,finite_mixture_categorical,bounded,digit_categorical|select_position_categorical,pymc|numpyro|stan|pyro
pp-mixture-of-experts-categorical,mixture,research,p2,Categorical,pymc,pymc-advi-fullrank,native_pymc,models/pymc_native.py,mixture_of_experts_categorical,bounded,digit_categorical|select_position_categorical,pymc|numpyro|pyro
pp-latent-class-categorical,mixture,research,p2,Categorical,pymc,pymc-smc,native_pymc,models/pymc_native.py,latent_class_categorical,bounded,digit_categorical|select_position_categorical,pymc|numpyro|stan|pyro
pp-dirichlet-process-categorical,nonparametric,research,p2,Categorical,pymc,pymc-smc,native_pymc,models/pymc_native.py,dirichlet_process_categorical,bounded,digit_categorical|select_position_categorical,pymc|numpyro|pyro
pp-hierarchical-dirichlet-process,nonparametric,research,p2,Categorical,numpyro,numpyro-nuts,native_numpyro,models/numpyro_native.py,hierarchical_dirichlet_process,bounded,digit_categorical|select_position_categorical,pyro|numpyro
pp-sticky-hdp-hmm,nonparametric,research,p2,Categorical,numpyro,numpyro-svi-lowrank,native_numpyro,models/numpyro_native.py,sticky_hdp_hmm,bounded,digit_categorical|select_position_categorical,pyro|numpyro
pp-dp-changepoint,nonparametric,research,p2,Categorical,numpyro,numpyro-nuts,native_numpyro,models/numpyro_native.py,dp_changepoint,bounded,digit_categorical|select_position_categorical,pyro|numpyro
pp-bayesian-kernel-mixture,nonparametric,research,p2,Categorical,pymc,pymc-smc,native_pymc,models/pymc_native.py,bayesian_kernel_mixture,bounded,digit_ordinal|select_position_ordinal,pymc|numpyro|pyro
pp-bayesian-mlp,deep_probabilistic,research,p2,Categorical,pyro,pyro-svi-autonormal,native_pyro,models/pyro_native.py,bayesian_mlp,bounded,digit_categorical|select_position_categorical,pyro|tfp
pp-bayesian-tcn,deep_probabilistic,research,p2,Categorical,pyro,pyro-svi-autonormal,native_pyro,models/pyro_native.py,bayesian_tcn,bounded,digit_categorical|select_position_categorical,pyro|tfp
pp-bayesian-gru,deep_probabilistic,research,p2,Categorical,pyro,pyro-svi-autonormal,native_pyro,models/pyro_native.py,bayesian_gru,bounded,digit_categorical|select_position_categorical,pyro|tfp
pp-bayesian-lstm,deep_probabilistic,research,p2,Categorical,pyro,pyro-svi-autonormal,native_pyro,models/pyro_native.py,bayesian_lstm,bounded,digit_categorical|select_position_categorical,pyro|tfp
pp-bayesian-transformer,deep_probabilistic,research,p2,Categorical,pyro,pyro-svi-autonormal,native_pyro,models/pyro_native.py,bayesian_transformer,bounded,digit_categorical|select_position_categorical,pyro|tfp
pp-variational-rnn,deep_probabilistic,research,p2,Categorical,pyro,pyro-svi-autonormal,native_pyro,models/pyro_native.py,variational_rnn,bounded,digit_categorical|select_position_categorical,pyro
pp-deep-markov-model,deep_probabilistic,research,p2,Categorical,pyro,pyro-svi-autonormal,native_pyro,models/pyro_native.py,deep_markov_model,bounded,digit_categorical|select_position_categorical,pyro
pp-neural-hmm,deep_probabilistic,research,p2,Categorical,pyro,pyro-svi-autonormal,native_pyro,models/pyro_native.py,neural_hmm,bounded,digit_categorical|select_position_categorical,pyro|numpyro
pp-bayesian-embedding-categorical,deep_probabilistic,research,p2,Categorical,pyro,pyro-svi-autonormal,native_pyro,models/pyro_native.py,bayesian_embedding_categorical,bounded,digit_categorical|select_position_categorical,pyro|tfp
pp-bayesian-neural-ordinal,deep_probabilistic,research,p2,OrderedLogistic,pyro,pyro-svi-autonormal,native_pyro,models/pyro_native.py,bayesian_neural_ordinal,bounded,digit_ordinal|select_position_ordinal,pyro|tfp
pp-bayesian-model-averaging,ensemble,meta,p1,Posterior mixture,pymc,pymc-nuts,native_pymc,models/pymc_native.py,bayesian_model_averaging,standard,ensemble,pymc|numpyro|stan
pp-psis-loo-stacking,ensemble,meta,p0,Predictive mixture,arviz,,native_meta,backends/arviz_adapter.py,psis_loo_stacking,confirmatory,ensemble,arviz
pp-dynamic-model-averaging,ensemble,meta,p1,Predictive mixture,pymc,pymc-nuts,native_pymc,models/pymc_native.py,dynamic_model_averaging,standard,ensemble,pymc|numpyro|stan
pp-bayesian-beta-calibration,calibration,meta,p1,Bernoulli,pymc,pymc-nuts,native_pymc,models/pymc_native.py,bayesian_beta_calibration,standard,calibration,pymc|numpyro|stan
pp-bayesian-dirichlet-calibration,calibration,meta,p0,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,bayesian_dirichlet_calibration,confirmatory,calibration,pymc|numpyro|stan
pp-bayesian-temperature-calibration,calibration,meta,p1,Categorical,pymc,pymc-nuts,native_pymc,models/pymc_native.py,bayesian_temperature_calibration,standard,calibration,pymc|numpyro|stan
pp-posterior-utility-hit1,decision,meta,p0,Posterior predictive,builtin,,decision,backends/builtin.py,posterior_utility_hit1,confirmatory,decision,builtin
pp-posterior-utility-hit1-mse,decision,meta,p0,Posterior predictive,builtin,,decision,backends/builtin.py,posterior_utility_hit1_mse,confirmatory,decision,builtin
pp-posterior-constrained-decoder,decision,meta,p0,Posterior predictive,builtin,,decision,backends/builtin.py,posterior_constrained_decoder,confirmatory,decision,builtin
