algorithm_id	artifact_id	artifact_revision	artifact_sha256	backend	canonical_v1_model_id	capabilities	class_name	default_params	environment	evidence_class	evidence_revision	execution_kind	execution_path	execution_surface	family	implementation_id	library	license	model_id	notes	package	priority	provider_script	repo_id	revision	routability	runtime_certified	runtime_status	source_alias	source_kind	source_revision	source_version	surface	task	variant_id
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoLSTM	{}							rnn		neuralforecast_auto		nf-auto-lstm	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoGRU	{}							rnn		neuralforecast_auto		nf-auto-gru	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoTCN	{}							cnn		neuralforecast_auto		nf-auto-tcn	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoDeepAR	{}							deep_probabilistic		neuralforecast_auto		nf-auto-deepar	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoDilatedRNN	{}							rnn		neuralforecast_auto		nf-auto-dilatedrnn	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoBiTCN	{}							cnn		neuralforecast_auto		nf-auto-bitcn	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoMLP	{}							mlp		neuralforecast_auto		nf-auto-mlp	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoNBEATS	{}							mlp		neuralforecast_auto		nf-auto-nbeats	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoNBEATSx	{}							mlp		neuralforecast_auto		nf-auto-nbeatsx	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoNHITS	{}							mlp		neuralforecast_auto		nf-auto-nhits	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoDLinear	{}							linear		neuralforecast_auto		nf-auto-dlinear	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoNLinear	{}							linear		neuralforecast_auto		nf-auto-nlinear	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoTiDE	{}							mlp		neuralforecast_auto		nf-auto-tide	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoDeepNPTS	{}							deep_probabilistic		neuralforecast_auto		nf-auto-deepnpts	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoKAN	{}							kan		neuralforecast_auto		nf-auto-kan	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoTFT	{}							transformer		neuralforecast_auto		nf-auto-tft	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoVanillaTransformer	{}							transformer		neuralforecast_auto		nf-auto-vanilla-transformer	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoInformer	{}							transformer		neuralforecast_auto		nf-auto-informer	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoAutoformer	{}							transformer		neuralforecast_auto		nf-auto-autoformer	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoFEDformer	{}							transformer		neuralforecast_auto		nf-auto-fedformer	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoPatchTST	{}							transformer		neuralforecast_auto		nf-auto-patchtst	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoiTransformer	{}							transformer		neuralforecast_auto		nf-auto-itransformer	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoTimeXer	{}							transformer		neuralforecast_auto		nf-auto-timexer	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoTimesNet	{}							transformer		neuralforecast_auto		nf-auto-timesnet	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoStemGNN	{}							graph		neuralforecast_auto		nf-auto-stemgnn	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoHINT	{}							hierarchical		neuralforecast_auto		nf-auto-hint	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoTSMixer	{}							mixer		neuralforecast_auto		nf-auto-tsmixer	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoTSMixerx	{}							mixer		neuralforecast_auto		nf-auto-tsmixerx	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoMLPMultivariate	{}							mlp		neuralforecast_auto		nf-auto-mlp-multivariate	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoSOFTS	{}							mixer		neuralforecast_auto		nf-auto-softs	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoTimeMixer	{}							mixer		neuralforecast_auto		nf-auto-timemixer	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoRMoK	{}							kan		neuralforecast_auto		nf-auto-rmok	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint"", ""multivariate""]"	AutoSOFTSSharp	{}							mixer		neuralforecast_auto		nf-auto-softssharp	Official NeuralForecast AutoModel; requires n_series and multivariate input	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint"", ""multivariate""]"	AutoXLinear	{}							linear		neuralforecast_auto		nf-auto-xlinear	Official NeuralForecast AutoModel; requires n_series and multivariate input	neuralforecast	p1											base_catalog	position_series	
						"[""gpu"", ""auto_hpo"", ""optuna"", ""ray"", ""checkpoint""]"	AutoxLSTM	{}							rnn		neuralforecast_auto		nf-auto-xlstm	Official NeuralForecast AutoModel; backend/search resolved at runtime	neuralforecast	p1											base_catalog	position_series	
						"[""ensemble"", ""probabilistic"", ""zero_shot""]"	TimeSeriesPredictor	{}							automl		autogluon		autogluon-timeseries		autogluon	p1											base_catalog	position_series	
						"[""ensemble"", ""probabilistic""]"	RegressionEnsembleModel	{}							framework		darts		darts-ensemble		darts	p2											base_catalog	position_series	
						"[""probabilistic""]"	DeepAREstimator	"{""context_length"": 16, ""epochs"": 1, ""num_batches_per_epoch"": 2, ""num_samples"": 20}"							deep_probabilistic		gluonts		gluonts-deepar		gluonts	p2											base_catalog	position_series	
						"[""position""]"	ESN	"{""leak_rate"": 0.3, ""reservoir_size"": 50, ""ridge_alpha"": 1e-06, ""spectral_radius"": 0.9}"							reservoir		reservoirpy		reservoir-esn		reservoirpy	p1											base_catalog	position	
						"[""zero_shot"", ""probabilistic"", ""gpu_optional""]"	ChronosBoltPipeline	"{""model_name"": ""amazon/chronos-bolt-tiny"", ""revision"": ""a0e552de83495b5c28c14c71c374f3e33280b340""}"							tsfm		chronos		chronos-bolt-tiny		chronos	p1											base_catalog	foundation	
						"[""zero_shot"", ""probabilistic"", ""gpu""]"	ChronosPipeline	"{""model_name"": ""amazon/chronos-t5-small"", ""num_samples"": 20, ""revision"": ""a971ba21945c4f1796b17a91fe69214b5f4ad472""}"							tsfm		chronos		chronos-t5-small		chronos	p1											base_catalog	foundation	
						"[""zero_shot"", ""fine_tuning"", ""exogenous"", ""probabilistic"", ""gpu""]"	Chronos2Pipeline	"{""batch_size"": 256, ""context_length"": 512, ""cross_learning"": false, ""model_name"": ""amazon/chronos-2"", ""revision"": ""29ec3766d36d6f73f0696f85560a422f50e8498c""}"							tsfm		chronos		chronos-2		chronos	p0											base_catalog	foundation	
						"[""zero_shot"", ""fine_tuning"", ""exogenous""]"	Chronos2Pipeline	"{""model_name"": ""autogluon/chronos-2-small""}"							tsfm		chronos		chronos-2-small		chronos	p1											base_catalog	foundation	
						"[""zero_shot"", ""fine_tuning"", ""exogenous"", ""gpu""]"	TimesFM	{}							tsfm		timesfm		timesfm-2.5		timesfm	p1											base_catalog	foundation	
						"[""zero_shot"", ""fine_tuning"", ""gpu_optional""]"	TinyTimeMixerForPrediction	{}							tsfm		transformers		granite-ttm		transformers	p1											base_catalog	foundation	
						"[""zero_shot"", ""probabilistic"", ""gpu_optional""]"	TiRex	"{""model_name"": ""NX-AI/TiRex-2"", ""revision"": ""05e5b26db52bfb256f1ae1bdf785589850482de3""}"							tsfm		tirex		tirex		tirex	p1											base_catalog	foundation	
						"[""zero_shot"", ""probabilistic"", ""gpu""]"	Moirai2Forecast	"{""model_name"": ""Salesforce/moirai-2.0-R-small"", ""revision"": ""30f43ff08c8494f4943ae1521e9d4e94a0fbb389""}"							tsfm		uni2ts		moirai		uni2ts	p2											base_catalog	foundation	
						"[""zero_shot"", ""generative"", ""gpu""]"	SundialForPrediction	"{""model_name"": ""thuml/sundial-base-128m"", ""revision"": ""3212e42564493f520593e5414af4367fc4b49226"", ""trust_remote_code"": true}"							tsfm		transformers		sundial		transformers	p2											base_catalog	foundation	
						"[""zero_shot"", ""probability"", ""gpu_optional""]"	TabPFNTimeSeries	{}							foundation_tabular		tabpfn_time_series		tabpfn-ts		tabpfn_time_series	p1											base_catalog	candidate	
						"[""probability"", ""ranking"", ""control""]"	UniformCandidateAdapter	{}							theory		builtin		uniform	exact theoretical uniform; mandatory control		p0											broad_v1	candidate	
						"[""probability"", ""ranking""]"	FrequencyCandidateAdapter	{}							frequency		builtin		frequency			p0											broad_v1	candidate	
						"[""position"", ""control""]"	TheoryMedianAdapter	{}							theory		builtin		position-median	exact MAE-floor predictor; mandatory control		p0											broad_v1	position	
						"[""position"", ""control""]"	TheoryModalAdapter	{}							theory		builtin		position-modal	exact within-tau ceiling predictor; mandatory control		p0											broad_v1	position	
						"[""probability"", ""exogenous""]"	LogisticRegression	"{""C"": 1.0, ""max_iter"": 1000}"							linear		sklearn		logistic		sklearn	p0											broad_v1	candidate	
						"[""position"", ""exogenous""]"	Ridge	"{""alpha"": 1.0}"							linear		sklearn		ridge		sklearn	p0											broad_v1	position	
						"[""position"", ""exogenous""]"	ElasticNet	"{""alpha"": 0.01, ""l1_ratio"": 0.5, ""max_iter"": 5000}"							linear		sklearn		elastic-net		sklearn	p1											broad_v1	position	
						"[""probability"", ""exogenous""]"	RandomForestClassifier	"{""min_samples_leaf"": 3, ""n_estimators"": 300, ""n_jobs"": -1}"							tree		sklearn		random-forest		sklearn	p0											broad_v1	candidate	
						"[""probability"", ""exogenous""]"	ExtraTreesClassifier	"{""min_samples_leaf"": 2, ""n_estimators"": 300, ""n_jobs"": -1}"							tree		sklearn		extra-trees		sklearn	p0											broad_v1	candidate	
						"[""probability"", ""exogenous""]"	HistGradientBoostingClassifier	"{""learning_rate"": 0.05, ""max_iter"": 200}"							tree		sklearn		hist-gradient-boosting		sklearn	p0											broad_v1	candidate	
						"[""probability"", ""calibration""]"	CalibratedClassifierCV	"{""cv"": 3, ""method"": ""isotonic""}"							calibrated		sklearn		isotonic-calibrated-logistic	wraps logistic; makes the calibration layer measurable	sklearn	p1											broad_v1	candidate	
						"[""probability"", ""exogenous""]"	LGBMClassifier	"{""learning_rate"": 0.03, ""n_estimators"": 400, ""num_leaves"": 31}"							tree		lightgbm		lightgbm-classifier		lightgbm	p0											broad_v1	candidate	
						"[""position"", ""exogenous""]"	LGBMRegressor	"{""learning_rate"": 0.03, ""n_estimators"": 400}"							tree		lightgbm		lightgbm-position		lightgbm	p1											broad_v1	position	
						"[""probability"", ""exogenous""]"	XGBClassifier	"{""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 400}"							tree		xgboost		xgboost-classifier		xgboost	p1											broad_v1	candidate	
						"[""probability"", ""exogenous""]"	CatBoostClassifier	"{""iterations"": 400, ""learning_rate"": 0.03, ""verbose"": false}"							tree		catboost		catboost-classifier		catboost	p1											broad_v1	candidate	
						"[""position""]"	AutoARIMA	{}							arima		statsforecast		sf-autoarima		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	AutoETS	{}							exponential_smoothing		statsforecast		sf-autoets		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	AutoCES	{}							exponential_smoothing		statsforecast		sf-autoces		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	AutoTheta	{}							theta		statsforecast		sf-autotheta		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	AutoMFLES	{}							decomposition		statsforecast		sf-automfles		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	AutoTBATS	{}							decomposition		statsforecast		sf-autotbats		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	ARIMA	{}							arima		statsforecast		sf-arima		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	AutoRegressive	{}							arima		statsforecast		sf-autoregressive		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	SimpleExponentialSmoothing	{}							exponential_smoothing		statsforecast		sf-simpleexponentialsmoothing		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	SimpleExponentialSmoothingOptimized	{}							exponential_smoothing		statsforecast		sf-simpleexponentialsmoothingoptimized		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	SeasonalExponentialSmoothing	{}							exponential_smoothing		statsforecast		sf-seasonalexponentialsmoothing		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	SeasonalExponentialSmoothingOptimized	{}							exponential_smoothing		statsforecast		sf-seasonalexponentialsmoothingoptimized		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	Holt	{}							exponential_smoothing		statsforecast		sf-holt		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	HoltWinters	{}							exponential_smoothing		statsforecast		sf-holtwinters		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	HistoricAverage	{}							baseline		statsforecast		sf-historicaverage	mandatory control	statsforecast	p0											broad_v1	position_series	
						"[""position""]"	Naive	{}							baseline		statsforecast		sf-naive	mandatory control	statsforecast	p0											broad_v1	position_series	
						"[""position""]"	RandomWalkWithDrift	{}							baseline		statsforecast		sf-randomwalkwithdrift		statsforecast	p0											broad_v1	position_series	
						"[""position""]"	SeasonalNaive	{}							baseline		statsforecast		sf-seasonalnaive	mandatory control	statsforecast	p0											broad_v1	position_series	
						"[""position"", ""probability""]"	ConformalSeasonalPool	{}							conformal		statsforecast		sf-conformalseasonalpool		statsforecast	p0											broad_v1	position_series	
						"[""position""]"	WindowAverage	{}							baseline		statsforecast		sf-windowaverage		statsforecast	p0											broad_v1	position_series	
						"[""position""]"	SeasonalWindowAverage	{}							baseline		statsforecast		sf-seasonalwindowaverage		statsforecast	p0											broad_v1	position_series	
						"[""position""]"	ADIDA	{}							intermittent		statsforecast		sf-adida		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	CrostonClassic	{}							intermittent		statsforecast		sf-crostonclassic		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	CrostonOptimized	{}							intermittent		statsforecast		sf-crostonoptimized		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	CrostonSBA	{}							intermittent		statsforecast		sf-crostonsba		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	IMAPA	{}							intermittent		statsforecast		sf-imapa		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	TSB	{}							intermittent		statsforecast		sf-tsb		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	MSTL	{}							decomposition		statsforecast		sf-mstl		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	MFLES	{}							decomposition		statsforecast		sf-mfles		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	TBATS	{}							decomposition		statsforecast		sf-tbats		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	Theta	{}							theta		statsforecast		sf-theta		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	OptimizedTheta	{}							theta		statsforecast		sf-optimizedtheta		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	DynamicTheta	{}							theta		statsforecast		sf-dynamictheta		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	DynamicOptimizedTheta	{}							theta		statsforecast		sf-dynamicoptimizedtheta		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	GARCH	{}							volatility		statsforecast		sf-garch		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	ARCH	{}							volatility		statsforecast		sf-arch		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	SklearnModel	{}							wrapper		statsforecast		sf-sklearnmodel		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	ConstantModel	{}							baseline		statsforecast		sf-constantmodel		statsforecast	p0											broad_v1	position_series	
						"[""position""]"	ZeroModel	{}							baseline		statsforecast		sf-zeromodel		statsforecast	p0											broad_v1	position_series	
						"[""position""]"	NaNModel	{}							baseline		statsforecast		sf-nanmodel		statsforecast	p0											broad_v1	position_series	
						"[""position""]"	UCM	{}							decomposition		statsforecast		sf-ucm		statsforecast	p1											broad_v1	position_series	
						"[""position""]"	RNN	{}							rnn		neuralforecast		nf-rnn		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	GRU	{}							rnn		neuralforecast		nf-gru		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	LSTM	{}							rnn		neuralforecast		nf-lstm		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	TCN	{}							cnn		neuralforecast		nf-tcn		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""probability""]"	DeepAR	{}							deep_probabilistic		neuralforecast		nf-deepar		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	DilatedRNN	{}							rnn		neuralforecast		nf-dilatedrnn		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	MLP	{}							mlp		neuralforecast		nf-mlp		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	NHITS	{}							mlp		neuralforecast		nf-nhits		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	NBEATS	{}							mlp		neuralforecast		nf-nbeats		neuralforecast	p1											broad_v1	position_series	
						"[""position"", ""exogenous""]"	NBEATSx	{}							mlp		neuralforecast		nf-nbeatsx		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	DLinear	{}							linear		neuralforecast		nf-dlinear		neuralforecast	p1											broad_v1	position_series	
						"[""position""]"	NLinear	{}							linear		neuralforecast		nf-nlinear		neuralforecast	p1											broad_v1	position_series	
