draw_no,draw_date,n1,n2,n3,n4,n5,n6,n7
49,2023-12-08,8,12,13,14,18,19,28
50,2023-12-15,10,18,23,26,31,32,33
51,2023-12-22,7,16,20,21,28,29,36
52,2023-12-29,5,7,18,20,23,31,34
53,2024-01-05,3,5,18,19,26,32,36
54,2024-01-12,4,10,25,27,32,34,35
55,2024-01-19,1,5,6,18,20,21,32
56,2024-01-26,6,9,17,21,25,33,35
57,2024-02-02,8,15,16,22,25,28,33
58,2024-02-09,9,12,13,20,21,24,28
59,2024-02-16,5,7,14,15,18,25,27
60,2024-02-23,1,5,13,15,23,27,35
61,2024-03-01,2,5,17,21,22,28,34
62,2024-03-08,10,12,14,17,26,33,37
63,2024-03-15,2,4,13,17,26,32,34
64,2024-03-22,1,4,5,22,23,31,36
65,2024-03-29,1,5,8,15,27,29,35
66,2024-04-05,1,2,6,22,28,30,36
67,2024-04-12,5,21,26,28,32,34,37
68,2024-04-19,4,5,7,18,20,24,28
69,2024-04-26,1,2,4,7,10,24,26
70,2024-05-03,1,2,3,8,21,33,35
71,2024-05-10,6,13,17,21,24,34,37
72,2024-05-17,5,8,11,16,19,22,32
73,2024-05-24,5,15,16,18,25,32,34
74,2024-05-31,3,9,11,15,21,23,29
75,2024-06-07,7,12,21,22,27,32,35
76,2024-06-14,4,7,12,19,20,22,26
77,2024-06-21,7,8,12,16,19,20,26
78,2024-06-28,5,18,19,23,30,31,33
79,2024-07-05,2,3,5,13,17,27,34
80,2024-07-12,7,9,12,17,19,27,37
81,2024-07-19,6,9,13,14,22,25,28
82,2024-07-26,3,12,16,28,30,33,36
83,2024-08-02,1,8,12,21,24,28,29
84,2024-08-09,8,20,26,30,32,33,34
85,2024-08-16,2,3,11,13,27,28,30
86,2024-08-23,2,6,8,9,23,30,32
87,2024-08-30,1,3,9,10,16,23,32
88,2024-09-06,3,14,21,26,27,33,34
89,2024-09-13,11,14,16,18,25,27,31
90,2024-09-20,12,13,18,20,27,31,37
91,2024-09-27,1,7,12,13,20,21,36
92,2024-10-04,1,5,11,14,21,32,36
93,2024-10-11,18,22,23,27,31,32,37
94,2024-10-18,3,5,16,20,26,30,31
95,2024-10-25,4,6,14,21,30,33,36
96,2024-11-01,1,2,5,11,19,29,34
97,2024-11-08,3,8,11,14,25,29,32
98,2024-11-15,2,9,14,15,28,29,36
99,2024-11-22,1,22,23,24,27,28,32
100,2024-11-29,1,4,8,16,21,31,34
101,2024-12-06,10,13,22,24,25,31,33
102,2024-12-13,10,15,17,21,25,27,29
103,2024-12-20,3,12,16,22,23,26,37
104,2024-12-27,5,7,13,18,21,34,37
105,2025-01-03,4,5,8,13,16,17,30
106,2025-01-10,1,10,13,15,23,32,33
107,2025-01-17,10,13,15,16,18,33,36
108,2025-01-24,8,17,21,23,25,32,37
109,2025-01-31,1,3,5,6,11,12,30
110,2025-02-07,14,16,22,25,28,33,35
111,2025-02-14,4,6,12,15,16,20,33
112,2025-02-21,2,4,5,14,27,32,34
113,2025-02-28,2,9,12,15,18,28,31
114,2025-03-07,2,8,12,16,24,29,36
115,2025-03-14,1,4,5,6,9,14,30
116,2025-03-21,10,14,16,18,20,26,30
117,2025-03-28,8,10,12,22,27,35,36
118,2025-04-04,2,5,6,7,12,21,23
119,2025-04-11,2,4,6,18,23,25,26
120,2025-04-18,1,10,16,20,23,27,30
121,2025-04-25,9,10,17,20,32,33,36
122,2025-05-02,5,11,19,23,26,28,36
123,2025-05-09,2,3,13,15,26,29,35
124,2025-05-16,5,10,12,22,25,29,33
125,2025-05-23,2,5,6,19,21,23,28
126,2025-05-30,5,14,19,20,21,31,34
127,2025-06-06,2,5,6,9,16,22,24
128,2025-06-13,1,2,6,9,20,31,33
129,2025-06-20,13,17,19,24,25,27,29
130,2025-06-27,1,2,13,17,30,33,37
131,2025-07-04,6,14,18,22,24,25,29
132,2025-07-11,7,8,9,29,30,32,34
133,2025-07-18,4,13,14,18,21,25,27
134,2025-07-25,4,24,25,30,31,32,37
135,2025-08-01,1,7,14,15,30,34,35
136,2025-08-08,10,12,14,16,20,21,35
137,2025-08-15,3,7,12,13,15,29,35
138,2025-08-22,1,4,8,9,11,25,32
139,2025-08-29,3,7,15,17,19,33,34
140,2025-09-05,3,9,15,19,23,25,32
141,2025-09-12,4,10,25,28,30,33,36
142,2025-09-19,3,5,9,11,14,21,33
143,2025-09-26,3,6,10,13,17,18,33
144,2025-10-03,10,13,15,23,24,29,31
145,2025-10-10,5,9,14,19,27,31,33
146,2025-10-17,3,6,7,10,14,16,21
147,2025-10-24,9,11,13,18,19,24,26
148,2025-10-31,1,11,12,19,26,28,37
149,2025-11-07,4,5,7,12,33,34,35
150,2025-11-14,2,6,7,9,18,31,32
151,2025-11-21,3,15,16,20,29,34,37
152,2025-11-28,6,13,17,25,26,27,31
153,2025-12-05,2,3,11,23,24,28,29
154,2025-12-12,1,10,15,17,23,28,29
155,2025-12-19,5,6,13,15,16,27,30
156,2025-12-26,10,11,14,17,24,25,37
157,2026-01-02,4,7,11,17,19,25,37
158,2026-01-09,10,17,20,24,25,28,35
159,2026-01-16,12,14,15,23,25,26,34
160,2026-01-23,7,11,13,14,15,23,29
