runtime_identity_sha256	runtime_prefix	classification	python_version	base_prefix	aliases	alias_count	site_packages	package_counts	package_fingerprints	phase2_statuses	torch_versions	cuda_builds
142ad567c496cac120e19b42fc3366961103f93aa828e5a69e2a18149ca1f17e	/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv	VIRTUAL_ENVIRONMENT	3.13.13	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv/lib/python3.13/site-packages""]"	[66]	"[""7f4807e33f502bc4c6c0b48e6fdd79877b2ac2e6af47f3b51974ed1ef1fd4d04""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.9.1+cu128""]"	"[""12.8""]"
fdc0d78124228694e1665a52b688c16f8088a42f8d9432bd9fca3290adcf27c3	/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv	VIRTUAL_ENVIRONMENT	3.13.13	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv/lib/python3.13/site-packages""]"	[59]	"[""f7ffed1f6fb01ba0f976abc71e91d51c109a19c21344f4aa907d7593723a0aa7""]"	"[""IMPORT_VERIFIED_CPU""]"	[]	[]
1cfea515aa7879442cf280c578379270a327c0b6dc948df7ea5e20ba12a2ff56	/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv	VIRTUAL_ENVIRONMENT	3.13.13	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv/lib/python3.13/site-packages""]"	[90]	"[""881c97c8be1f443195a7eefd1dfc9c5e993d56d483ba85fab59696729d5ebf20""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"
b4fa1322e56c96005f17a5cf9a739c68d088b82d605de54693d0b81d02fae48e	/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-compat/.venv	VIRTUAL_ENVIRONMENT	3.13.13	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-compat/.venv/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-compat/.venv/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-compat/.venv/lib/python3.13/site-packages""]"	[66]	"[""36ec80ceedafebb0c3a5232e4a89ca9d5feb25dda127d6b120ed3b9412295fe4""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.9.1+cu128""]"	"[""12.8""]"
2e0424b3b87fdc3c6b7e1eff7585c80898e8fa0a4f934d2bba09932099a644c9	/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-latest/.venv	VIRTUAL_ENVIRONMENT	3.13.13	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-latest/.venv/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-latest/.venv/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-latest/.venv/lib/python3.13/site-packages""]"	[69]	"[""df183849711a2aaa26fbbfbc592d32dad7a2a52f01bc069134d506f491d5d683""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"
8c4c1117cd34740161ce018834178a4324510748aed79be117d8a731f326e50f	/mnt/e/env/ts/loto_forecast_platform/environments/moirai2-cuda13-experimental/.venv	VIRTUAL_ENVIRONMENT	3.11.14	/home/az/.local/share/uv/python/cpython-3.11-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/environments/moirai2-cuda13-experimental/.venv/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/environments/moirai2-cuda13-experimental/.venv/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/environments/moirai2-cuda13-experimental/.venv/lib/python3.11/site-packages""]"	[96]	"[""05b7dc9e0f1605dc44fd69fb3d4aaac7ef9461c0c58e2330f465731274f0a467""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"
bcedeee53bfb6f6075d4ad788c14eda57442fe3624402a6ec90bbaa7d3806de2	/mnt/e/env/ts/loto_forecast_platform/environments/sktime-classic-py312/.venv	VIRTUAL_ENVIRONMENT	3.12.13	/home/az/.local/share/uv/python/cpython-3.12.13-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/environments/sktime-classic-py312/.venv/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/environments/sktime-classic-py312/.venv/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/environments/sktime-classic-py312/.venv/lib/python3.12/site-packages""]"	[25]	"[""c88a4c45af09a5de19bb07e84a71aa3f4fc6012f4e9fb83604f3981d57acdc51""]"	"[""IMPORT_VERIFIED_CPU""]"	[]	[]
41ae61bc58c8ee7bfcb49e9ff8e6697e89da261a12306c81152b9c528cf9a145	/mnt/e/env/ts/loto_forecast_platform/environments/sktime-core-py313/.venv	VIRTUAL_ENVIRONMENT	3.13.13	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/environments/sktime-core-py313/.venv/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/environments/sktime-core-py313/.venv/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/environments/sktime-core-py313/.venv/lib/python3.13/site-packages""]"	[23]	"[""855f978c83e8182cd45c94d444483bf195a21dbe426a526f6c3b0112bb388b63""]"	"[""IMPORT_VERIFIED_CPU""]"	[]	[]
142ddbfa29129e4c41f3ad094a03b1604329b9a2a89b90216df50b6eeaf15e9f	/mnt/e/env/ts/loto_forecast_platform/environments/statsforecast-py313/.venv	VIRTUAL_ENVIRONMENT	3.13.13	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/environments/statsforecast-py313/.venv/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/environments/statsforecast-py313/.venv/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/environments/statsforecast-py313/.venv/lib/python3.13/site-packages""]"	[29]	"[""42218178dba4f7dddc2aaebc19bdedae320e867cf1ac6e4f02b804b24ab92cc9""]"	"[""IMPORT_VERIFIED_CPU""]"	[]	[]
fa5f04c9113f5cf15d0f506fe21274961ea84e9bfe3dbe4f293527b0f0a4399f	/mnt/e/env/ts/loto_forecast_platform/environments/tabpfn-ts/.venv	VIRTUAL_ENVIRONMENT	3.12.13	/home/az/.local/share/uv/python/cpython-3.12.13-linux-x86_64-gnu	"[""/mnt/e/env/ts/loto_forecast_platform/environments/tabpfn-ts/.venv/bin/python"", ""/mnt/e/env/ts/loto_forecast_platform/environments/tabpfn-ts/.venv/bin/python3""]"	2	"[""/mnt/e/env/ts/loto_forecast_platform/environments/tabpfn-ts/.venv/lib/python3.12/site-packages""]"	[101]	"[""0f5c23f23db6303fcdd3b8e26bc26fcd577c66098bca9c99df22735192b865e5""]"	"[""CUDA_KERNEL_PASS""]"	"[""2.13.0+cu130""]"	"[""13.0""]"
